i;x_i;y_i;y(x_i);|y_i-y(x)|;p(k);;;;
k=1;;;;;;;;;
0;1;1,37802;1,37802;0;p=/0;;;;
1;1,01;1,39271;1,39267;4,17E-05;0,993366;;;;
2;1,02;1,40731;1,40723;8,57E-05;0,993492;;;;
3;1,03;1,42183;1,4217;0,00013209;0,993613;;;;
4;1,04;1,43625;1,43607;0,000180859;0,99373;;;;
5;1,05;1,45057;1,45034;0,000232062;0,993842;;;;
6;1,06;1,46479;1,4645;0,000285737;0,993949;;;;
7;1,07;1,4789;1,47856;0,000341923;0,994053;;;;
8;1,08;1,4929;1,4925;0,00040066;0,994153;;;;
9;1,09;1,50678;1,50631;0,000461988;0,994249;;;;
10;1,1;1,52053;1,52001;0,000525946;0,994342;;;;
11;1,11;1,53416;1,53357;0,000592575;0,994432;;;;
12;1,12;1,54765;1,54699;0,000661915;0,994519;;;;
13;1,13;1,561;1,56027;0,000734006;0,994603;;;;
14;1,14;1,57421;1,5734;0,000808891;0,994684;;;;
15;1,15;1,58727;1,58638;0,00088661;0,994762;;;;
16;1,16;1,60017;1,5992;0,000967204;0,994838;;;;
17;1,17;1,61291;1,61186;0,00105072;0,994912;;;;
18;1,18;1,62548;1,62434;0,00113719;0,994983;;;;
19;1,19;1,63788;1,63665;0,00122666;0,995053;;;;
20;1,2;1,65009;1,64877;0,00131918;0,99512;;;;
21;1,21;1,66212;1,66071;0,00141479;0,995185;;;;
22;1,22;1,67396;1,67245;0,00151352;0,995249;;;;
23;1,23;1,6856;1,68399;0,00161543;0,99531;;;;
24;1,24;1,69704;1,69532;0,00172056;0,99537;;;;
25;1,25;1,70826;1,70643;0,00182895;0,995429;;;;
26;1,26;1,71927;1,71733;0,00194064;0,995486;;;;
27;1,27;1,73005;1,72799;0,00205568;0,995541;;;;
28;1,28;1,7406;1,73842;0,00217412;0,995595;;;;
29;1,29;1,75091;1,74861;0,00229599;0,995647;;;;
30;1,3;1,76098;1,75856;0,00242135;0,995698;;;;
31;1,31;1,77079;1,76824;0,00255023;0,995748;;;;
32;1,32;1,78035;1,77767;0,00268269;0,995797;;;;
33;1,33;1,78964;1,78682;0,00281876;0,995844;;;;
34;1,34;1,79866;1,7957;0,00295851;0,99589;;;;
35;1,35;1,80739;1,80429;0,00310196;0,995936;;;;
36;1,36;1,81584;1,81259;0,00324916;0,99598;;;;
37;1,37;1,82399;1,82059;0,00340017;0,996023;;;;
38;1,38;1,83184;1,82829;0,00355503;0,996065;;;;
39;1,39;1,83938;1,83567;0,00371379;0,996106;;;;
40;1,4;1,8466;1,84272;0,00387648;0,996147;;;;
41;1,41;1,85349;1,84945;0,00404316;0,996186;;;;
42;1,42;1,86005;1,85584;0,00421388;0,996225;;;;
43;1,43;1,86627;1,86188;0,00438868;0,996262;;;;
44;1,44;1,87213;1,86756;0,00456761;0,996299;;;;
45;1,45;1,87763;1,87288;0,00475072;0,996336;;;;
46;1,46;1,88277;1,87783;0,00493805;0,996371;;;;
47;1,47;1,88753;1,8824;0,00512965;0,996406;;;;
48;1,48;1,89191;1,88658;0,00532558;0,99644;;;;
49;1,49;1,89589;1,89037;0,00552587;0,996473;;;;
50;1,5;1,89947;1,89374;0,00573057;0,996506;;;;
51;1,51;1,90264;1,8967;0,00593974;0,996538;;;;
52;1,52;1,90539;1,89924;0,00615341;0,99657;;;;
53;1,53;1,90771;1,90134;0,00637165;0,996601;;;;
54;1,54;1,9096;1,903;0,00659449;0,996631;;;;
