Nx = 8000, Ny = 8000, Nt = 100, r = 1; it = 100; time = 10.521956; true time = 10.521956; total count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
Nx = 8000, Ny = 8000, Nt = 100, r = 2; it = 100; time = 8.982924; true time = 8.982924; total count = 1599600000; count 1 = 100000, count 2 = 1599400000, count 3 = 100000
Nx = 8000, Ny = 8000, Nt = 100, r = 3; it = 102; time = 7.884287; true time = 7.729693; total count = 1631592000; count 1 = 204000, count 2 = 1631184000, count 3 = 204000
Nx = 8000, Ny = 8000, Nt = 100, r = 4; it = 100; time = 7.196603; true time = 7.196603; total count = 1599600000; count 1 = 300000, count 2 = 1599000000, count 3 = 300000
Nx = 8000, Ny = 8000, Nt = 100, r = 5; it = 100; time = 6.855789; true time = 6.855789; total count = 1599600000; count 1 = 400000, count 2 = 1598800000, count 3 = 400000
Nx = 8000, Ny = 8000, Nt = 100, r = 6; it = 102; time = 6.699008; true time = 6.567655; total count = 1631592000; count 1 = 510000, count 2 = 1630572000, count 3 = 510000
Nx = 8000, Ny = 8000, Nt = 100, r = 7; it = 105; time = 6.687590; true time = 6.369133; total count = 1679580000; count 1 = 630000, count 2 = 1678320000, count 3 = 630000
Nx = 8000, Ny = 8000, Nt = 100, r = 8; it = 104; time = 6.287455; true time = 6.045630; total count = 1663584000; count 1 = 728000, count 2 = 1662128000, count 3 = 728000
Nx = 8000, Ny = 8000, Nt = 100, r = 9; it = 108; time = 6.559539; true time = 6.073648; total count = 1727568000; count 1 = 864000, count 2 = 1725840000, count 3 = 864000
Nx = 8000, Ny = 8000, Nt = 100, r = 10; it = 100; time = 5.915375; true time = 5.915375; total count = 1599600000; count 1 = 900000, count 2 = 1597800000, count 3 = 900000
Nx = 8000, Ny = 8000, Nt = 100, r = 11; it = 110; time = 6.607592; true time = 6.006902; total count = 1759560000; count 1 = 1100000, count 2 = 1757360000, count 3 = 1100000
Nx = 8000, Ny = 8000, Nt = 100, r = 12; it = 108; time = 6.428491; true time = 5.952306; total count = 1727568000; count 1 = 1188000, count 2 = 1725192000, count 3 = 1188000
Nx = 8000, Ny = 8000, Nt = 100, r = 13; it = 104; time = 6.237443; true time = 5.997542; total count = 1663584000; count 1 = 1248000, count 2 = 1661088000, count 3 = 1248000
Nx = 8000, Ny = 8000, Nt = 100, r = 14; it = 112; time = 7.001142; true time = 6.251019; total count = 1791552000; count 1 = 1456000, count 2 = 1788640000, count 3 = 1456000
Nx = 8000, Ny = 8000, Nt = 100, r = 15; it = 105; time = 6.706428; true time = 6.387074; total count = 1679580000; count 1 = 1470000, count 2 = 1676640000, count 3 = 1470000
Nx = 8000, Ny = 8000, Nt = 100, r = 16; it = 112; time = 6.963388; true time = 6.217311; total count = 1791552000; count 1 = 1680000, count 2 = 1788192000, count 3 = 1680000
Nx = 8000, Ny = 8000, Nt = 100, r = 17; it = 102; time = 6.229519; true time = 6.107372; total count = 1631592000; count 1 = 1632000, count 2 = 1628328000, count 3 = 1632000
Nx = 8000, Ny = 8000, Nt = 100, r = 18; it = 108; time = 6.526638; true time = 6.043184; total count = 1727568000; count 1 = 1836000, count 2 = 1723896000, count 3 = 1836000
Nx = 8000, Ny = 8000, Nt = 100, r = 19; it = 114; time = 6.901954; true time = 6.054346; total count = 1823544000; count 1 = 2052000, count 2 = 1819440000, count 3 = 2052000
Nx = 8000, Ny = 8000, Nt = 100, r = 20; it = 100; time = 6.052718; true time = 6.052718; total count = 1599600000; count 1 = 1900000, count 2 = 1595800000, count 3 = 1900000
Nx = 8000, Ny = 8000, Nt = 100, r = 21; it = 105; time = 6.321382; true time = 6.020364; total count = 1679580000; count 1 = 2100000, count 2 = 1675380000, count 3 = 2100000
Nx = 8000, Ny = 8000, Nt = 100, r = 22; it = 110; time = 6.609659; true time = 6.008781; total count = 1759560000; count 1 = 2310000, count 2 = 1754940000, count 3 = 2310000
Nx = 8000, Ny = 8000, Nt = 100, r = 23; it = 115; time = 6.956708; true time = 6.049311; total count = 1839540000; count 1 = 2530000, count 2 = 1834480000, count 3 = 2530000
Nx = 8000, Ny = 8000, Nt = 100, r = 24; it = 120; time = 7.296185; true time = 6.080154; total count = 1919520000; count 1 = 2760000, count 2 = 1914000000, count 3 = 2760000
Nx = 8000, Ny = 8000, Nt = 100, r = 25; it = 100; time = 6.028868; true time = 6.028868; total count = 1599600000; count 1 = 2400000, count 2 = 1594800000, count 3 = 2400000
Nx = 8000, Ny = 8000, Nt = 100, r = 26; it = 104; time = 6.234923; true time = 5.995118; total count = 1663584000; count 1 = 2600000, count 2 = 1658384000, count 3 = 2600000
Nx = 8000, Ny = 8000, Nt = 100, r = 27; it = 108; time = 6.694142; true time = 6.198280; total count = 1727568000; count 1 = 2808000, count 2 = 1721952000, count 3 = 2808000
Nx = 8000, Ny = 8000, Nt = 100, r = 28; it = 112; time = 6.859014; true time = 6.124119; total count = 1791552000; count 1 = 3024000, count 2 = 1785504000, count 3 = 3024000
Nx = 8000, Ny = 8000, Nt = 100, r = 29; it = 116; time = 7.019044; true time = 6.050900; total count = 1855536000; count 1 = 3248000, count 2 = 1849040000, count 3 = 3248000
Nx = 8000, Ny = 8000, Nt = 100, r = 30; it = 120; time = 7.312713; true time = 6.093928; total count = 1919520000; count 1 = 3480000, count 2 = 1912560000, count 3 = 3480000
Nx = 8000, Ny = 8000, Nt = 100, r = 31; it = 124; time = 7.773111; true time = 6.268638; total count = 1983504000; count 1 = 3720000, count 2 = 1976064000, count 3 = 3720000
Nx = 8000, Ny = 8000, Nt = 100, r = 32; it = 128; time = 7.972677; true time = 6.228654; total count = 2047488000; count 1 = 3968000, count 2 = 2039552000, count 3 = 3968000
Nx = 8000, Ny = 8000, Nt = 100, r = 33; it = 132; time = 8.619292; true time = 6.529767; total count = 2111472000; count 1 = 4224000, count 2 = 2103024000, count 3 = 4224000
Nx = 8000, Ny = 8000, Nt = 100, r = 34; it = 102; time = 6.659792; true time = 6.529208; total count = 1631592000; count 1 = 3366000, count 2 = 1624860000, count 3 = 3366000
Nx = 8000, Ny = 8000, Nt = 100, r = 35; it = 105; time = 7.003955; true time = 6.670434; total count = 1679580000; count 1 = 3570000, count 2 = 1672440000, count 3 = 3570000
Nx = 8000, Ny = 8000, Nt = 100, r = 36; it = 108; time = 7.418610; true time = 6.869083; total count = 1727568000; count 1 = 3780000, count 2 = 1720008000, count 3 = 3780000
Nx = 8000, Ny = 8000, Nt = 100, r = 37; it = 111; time = 7.776627; true time = 7.005971; total count = 1775556000; count 1 = 3996000, count 2 = 1767564000, count 3 = 3996000
Nx = 8000, Ny = 8000, Nt = 100, r = 38; it = 114; time = 8.114988; true time = 7.118411; total count = 1823544000; count 1 = 4218000, count 2 = 1815108000, count 3 = 4218000
Nx = 8000, Ny = 8000, Nt = 100, r = 39; it = 117; time = 8.527094; true time = 7.288115; total count = 1871532000; count 1 = 4446000, count 2 = 1862640000, count 3 = 4446000
Nx = 8000, Ny = 8000, Nt = 100, r = 40; it = 120; time = 9.023197; true time = 7.519331; total count = 1919520000; count 1 = 4680000, count 2 = 1910160000, count 3 = 4680000
Nx = 8000, Ny = 8000, Nt = 100, r = 41; it = 123; time = 9.583140; true time = 7.791171; total count = 1967508000; count 1 = 4920000, count 2 = 1957668000, count 3 = 4920000
Nx = 8000, Ny = 8000, Nt = 100, r = 42; it = 126; time = 10.170622; true time = 8.071922; total count = 2015496000; count 1 = 5166000, count 2 = 2005164000, count 3 = 5166000
Nx = 8000, Ny = 8000, Nt = 100, r = 43; it = 129; time = 10.683576; true time = 8.281842; total count = 2063484000; count 1 = 5418000, count 2 = 2052648000, count 3 = 5418000
Nx = 8000, Ny = 8000, Nt = 100, r = 44; it = 132; time = 11.333444; true time = 8.585942; total count = 2111472000; count 1 = 5676000, count 2 = 2100120000, count 3 = 5676000
Nx = 8000, Ny = 8000, Nt = 100, r = 45; it = 135; time = 12.068452; true time = 8.939594; total count = -2135507296; count 1 = 5940000, count 2 = -2147387296, count 3 = 5940000
Nx = 8000, Ny = 8000, Nt = 100, r = 46; it = 138; time = 12.539736; true time = 9.086765; total count = -2087519296; count 1 = 6210000, count 2 = -2099939296, count 3 = 6210000
Nx = 8000, Ny = 8000, Nt = 100, r = 47; it = 141; time = 12.992209; true time = 9.214333; total count = -2039531296; count 1 = 6486000, count 2 = -2052503296, count 3 = 6486000
Nx = 8000, Ny = 8000, Nt = 100, r = 48; it = 144; time = 13.649289; true time = 9.478673; total count = -1991543296; count 1 = 6768000, count 2 = -2005079296, count 3 = 6768000

