r = 1; it = 100; time = 10.271275; true time = 10.271275s
r = 2; it = 100; time = 8.304434; true time = 8.304434
r = 3; it = 102; time = 7.308281; true time = 7.164982
r = 4; it = 100; time = 6.637870; true time = 6.637870
r = 5; it = 100; time = 6.339304; true time = 6.339304
r = 6; it = 102; time = 6.457528; true time = 6.330910
r = 7; it = 105; time = 6.115687; true time = 5.824464
r = 8; it = 104; time = 6.025310; true time = 5.793568
r = 9; it = 108; time = 5.994380; true time = 5.550351
r = 10; it = 100; time = 5.315827; true time = 5.315827
r = 11; it = 110; time = 6.052223; true time = 5.502021
r = 12; it = 108; time = 5.825853; true time = 5.394308
r = 13; it = 104; time = 5.354085; true time = 5.148159
r = 14; it = 112; time = 5.879488; true time = 5.249543
r = 15; it = 105; time = 5.597688; true time = 5.331131
r = 16; it = 112; time = 5.777865; true time = 5.158808
r = 17; it = 102; time = 5.444307; true time = 5.337556
r = 18; it = 108; time = 5.974033; true time = 5.531512
r = 19; it = 114; time = 5.854726; true time = 5.135724
r = 20; it = 100; time = 5.219865; true time = 5.219865
r = 21; it = 105; time = 5.524622; true time = 5.261545
r = 22; it = 110; time = 5.628254; true time = 5.116594
r = 23; it = 115; time = 5.910601; true time = 5.139653
r = 24; it = 120; time = 6.103361; true time = 5.086135
r = 25; it = 100; time = 5.217394; true time = 5.217394
r = 26; it = 104; time = 5.656307; true time = 5.438756
r = 27; it = 108; time = 5.985314; true time = 5.541958
r = 28; it = 112; time = 6.022845; true time = 5.377541
r = 29; it = 116; time = 6.475312; true time = 5.582165
r = 30; it = 120; time = 6.725661; true time = 5.604718
r = 31; it = 124; time = 6.913663; true time = 5.575534
r = 32; it = 128; time = 7.282524; true time = 5.689472
r = 33; it = 132; time = 7.538898; true time = 5.711286
r = 34; it = 102; time = 6.126215; true time = 6.006093
r = 35; it = 105; time = 6.136657; true time = 5.844436
r = 36; it = 108; time = 6.775586; true time = 6.273691
r = 37; it = 111; time = 7.289441; true time = 6.567064
r = 38; it = 114; time = 7.602529; true time = 6.668885
r = 39; it = 117; time = 7.831127; true time = 6.693271
r = 40; it = 120; time = 8.473370; true time = 7.061142
r = 41; it = 123; time = 9.061882; true time = 7.367383
r = 42; it = 126; time = 9.717119; true time = 7.711999
r = 43; it = 129; time = 9.840254; true time = 7.628104
r = 44; it = 132; time = 10.048478; true time = 7.612483
r = 45; it = 135; time = 10.711741; true time = 7.934623
r = 46; it = 138; time = 11.164625; true time = 8.090308
r = 47; it = 141; time = 11.616987; true time = 8.238998
r = 48; it = 144; time = 12.014714; true time = 8.343551
